Name,Age,Participant,Utterance,TokenisedUtt,TokenisedUttLower,TokenisedUttNoPunct,UttLen,UtterancesCyrillic,TokenisedUttCyr,UtterancesCyrillicCleaned,UtterancesCyrillicCleanedNormalised
ALE,1;01.29,VEL,"sashe, na kolko si godinki ?","['sashe', ',', 'na', 'kolko', 'si', 'godinki', '?']","['sashe', ',', 'na', 'kolko', 'si', 'godinki', '?']","['sashe', 'na', 'kolko', 'si', 'godinki']",5,"Саше, на колко си годинки ?","['саше', 'на', 'колко', 'си', 'годинки']","Саше , на колко си годинки ?","Саше , на колко си годинки ?"
ALE,1;01.29,ALE,"mama, mama !","['mama', ',', 'mama', '!']","['mama', ',', 'mama', '!']","['mama', 'mama']",2,"Мама, мама !","['мама', 'мама']","Мама , мама !","Мама , мама !"
ALE,1;01.29,VEL,pri mama li iskash ?,"['pri', 'mama', 'li', 'iskash', '?']","['pri', 'mama', 'li', 'iskash', '?']","['pri', 'mama', 'li', 'iskash']",4,При мама ли искаш ?,"['при', 'мама', 'ли', 'искаш']",При мама ли искаш ?,При мама ли искаш ?
ALE,1;01.29,ALE,ej tam !,"['ej', 'tam', '!']","['ej', 'tam', '!']","['ej', 'tam']",2,Ей там !,"['ей', 'там']",Ей там !,Ей там !
ALE,1;01.29,VEL,kakvo ima ej tam ?,"['kakvo', 'ima', 'ej', 'tam', '?']","['kakvo', 'ima', 'ej', 'tam', '?']","['kakvo', 'ima', 'ej', 'tam']",4,Какво има ей там ?,"['какво', 'има', 'ей', 'там']",Какво има ей там ?,Какво има ей там ?
ALE,1;01.29,ALE,ej !,"['ej', '!']","['ej', '!']",['ej'],1,Ей !,['ей'],Ей !,Ей !
ALE,1;01.29,VEL,mashinka ?,"['mashinka', '?']","['mashinka', '?']",['mashinka'],1,Машинка ?,['машинка'],Машинка ?,Машинка ?
ALE,1;01.29,VEL,"kakvo ima tam, mamo ?","['kakvo', 'ima', 'tam', ',', 'mamo', '?']","['kakvo', 'ima', 'tam', ',', 'mamo', '?']","['kakvo', 'ima', 'tam', 'mamo']",4,"Какво има там, мамо ?","['какво', 'има', 'там', 'мамо']","Какво има там , мамо ?","Какво има там , мамо ?"
ALE,1;01.29,ALE,daj !,"['daj', '!']","['daj', '!']",['daj'],1,Дай !,['дай'],Дай !,Дай !
ALE,1;01.29,VEL,da ti go dadem ?,"['da', 'ti', 'go', 'dadem', '?']","['da', 'ti', 'go', 'dadem', '?']","['da', 'ti', 'go', 'dadem']",4,Да ти го дадем ?,"['да', 'ти', 'го', 'дадем']",Да ти го дадем ?,Да ти го дадем ?
ALE,1;01.29,VEL,daj na mama !,"['daj', 'na', 'mama', '!']","['daj', 'na', 'mama', '!']","['daj', 'na', 'mama']",3,Дай на мама !,"['дай', 'на', 'мама']",Дай на мама !,Дай на мама !
ALE,1;01.29,VEL,mersi !,"['mersi', '!']","['mersi', '!']",['mersi'],1,Мерси !,['мерси'],Мерси !,Мерси !
ALE,1;01.29,VEL,kazhi na kolko si godinki ?,"['kazhi', 'na', 'kolko', 'si', 'godinki', '?']","['kazhi', 'na', 'kolko', 'si', 'godinki', '?']","['kazhi', 'na', 'kolko', 'si', 'godinki']",5,Кажи на колко си годинки ?,"['кажи', 'на', 'колко', 'си', 'годинки']",Кажи на колко си годинки ?,Кажи на колко си годинки ?
ALE,1;01.29,ALE,na enna [: edna] .,"['na', 'edna', '.']","['na', 'edna', '.']","['na', 'edna']",2,На енна [: една] .,"['на', 'енна', 'една']",На енна .,На една .
ALE,1;01.29,VEL,a kolko zybcheta imash ?,"['a', 'kolko', 'zybcheta', 'imash', '?']","['a', 'kolko', 'zybcheta', 'imash', '?']","['a', 'kolko', 'zybcheta', 'imash']",4,А колко зъбчета имаш ?,"['а', 'колко', 'зъбчета', 'имаш']",А колко зъбчета имаш ?,А колко зъбчета имаш ?
ALE,1;01.29,ALE,de [: dve] .,"['dve', '.']","['dve', '.']",['dve'],1,Де [: две] .,"['де', 'две']",Де .,две .
ALE,1;01.29,VEL,a kyde e kaka ?,"['a', 'kyde', 'e', 'kaka', '?']","['a', 'kyde', 'e', 'kaka', '?']","['a', 'kyde', 'e', 'kaka']",4,А къде е кака ?,"['а', 'къде', 'е', 'кака']",А къде е кака ?,А къде е кака ?
ALE,1;01.29,ALE,Tam .,"['Tam', '.']","['tam', '.']",['tam'],1,Там .,['там'],Там .,Там .
ALE,1;01.29,VEL,a tati ?,"['a', 'tati', '?']","['a', 'tati', '?']","['a', 'tati']",2,А тати ?,"['а', 'тати']",А тати ?,А тати ?
ALE,1;01.29,ALE,xxx .,['.'],['.'],[],0,Xxx .,[],Xxx .,Xxx .
ALE,1;01.29,VEL,Ela mama da ti dade dzhidzhito ?,"['Ela', 'mama', 'da', 'ti', 'dade', 'dzhidzhito', '?']","['ela', 'mama', 'da', 'ti', 'dade', 'dzhidzhito', '?']","['ela', 'mama', 'da', 'ti', 'dade', 'dzhidzhito']",6,Ела мама да ти даде джиджито ?,"['ела', 'мама', 'да', 'ти', 'даде', 'джиджито']",Ела мама да ти даде джиджито ?,Ела мама да ти даде джиджито ?
ALE,1;01.29,DIM,dzak !,"['dzak', '!']","['dzak', '!']",['dzak'],1,Дзак !,['дзак'],Дзак !,Дзак !
ALE,1;01.29,DIM,"Ela, ela, tate, tuka .","['Ela', ',', 'ela', ',', 'tate', ',', 'tuka', '.']","['ela', ',', 'ela', ',', 'tate', ',', 'tuka', '.']","['ela', 'ela', 'tate', 'tuka']",4,"Ела, ела, тате, тука .","['ела', 'ела', 'тате', 'тука']","Ела , ела , тате , тука .","Ела , ела , тате , тука ."
ALE,1;01.29,DIM,ajde dzak !,"['ajde', 'dzak', '!']","['ajde', 'dzak', '!']","['ajde', 'dzak']",2,Айде дзак !,"['айде', 'дзак']",Айде дзак !,Айде дзак !
ALE,1;01.29,VEL,dzaak !,"['dzaak', '!']","['dzaak', '!']",['dzaak'],1,Дзаак !,['дзаак'],Дзаак !,Дзаак !
ALE,1;01.29,ALE,na !,"['na', '!']","['na', '!']",['na'],1,На !,['на'],На !,На !
ALE,1;01.29,VEL,davash na tati li ?,"['davash', 'na', 'tati', 'li', '?']","['davash', 'na', 'tati', 'li', '?']","['davash', 'na', 'tati', 'li']",4,Даваш на тати ли ?,"['даваш', 'на', 'тати', 'ли']",Даваш на тати ли ?,Даваш на тати ли ?
ALE,1;01.29,ALE,mersi !,"['mersi', '!']","['mersi', '!']",['mersi'],1,Мерси !,['мерси'],Мерси !,Мерси !
ALE,1;01.29,VEL,daj na mama !,"['daj', 'na', 'mama', '!']","['daj', 'na', 'mama', '!']","['daj', 'na', 'mama']",3,Дай на мама !,"['дай', 'на', 'мама']",Дай на мама !,Дай на мама !
ALE,1;01.29,VEL,daj !,"['daj', '!']","['daj', '!']",['daj'],1,Дай !,['дай'],Дай !,Дай !
ALE,1;01.29,DIM,mersi !,"['mersi', '!']","['mersi', '!']",['mersi'],1,Мерси !,['мерси'],Мерси !,Мерси !
