utterance_id,Name,Age,Participant,Utterance,TokenisedUtt,TokenisedUttLower,TokenisedUttNoPunct,UttLen,UtterancesCyrillic,TokenisedUttCyr,UtterancesCyrillicCleaned,UtterancesCyrillicCleanedNormalised,Manually_corrected
UTT_000001,ALE,1;01.29,VEL,"sashe, na kolko si godinki ?","['sashe', ',', 'na', 'kolko', 'si', 'godinki', '?']","['sashe', ',', 'na', 'kolko', 'si', 'godinki', '?']","['sashe', 'na', 'kolko', 'si', 'godinki']",5,"Саше, на колко си годинки ?","['саше', 'на', 'колко', 'си', 'годинки']","Саше , на колко си годинки ?","Саше , на колко си годинки ?","Саше , на колко си годинки ?"
UTT_000002,ALE,1;01.29,ALE,"mama, mama !","['mama', ',', 'mama', '!']","['mama', ',', 'mama', '!']","['mama', 'mama']",2,"Мама, мама !","['мама', 'мама']","Мама , мама !","Мама , мама !",
UTT_000003,ALE,1;01.29,VEL,pri mama li iskash ?,"['pri', 'mama', 'li', 'iskash', '?']","['pri', 'mama', 'li', 'iskash', '?']","['pri', 'mama', 'li', 'iskash']",4,При мама ли искаш ?,"['при', 'мама', 'ли', 'искаш']",При мама ли искаш ?,При мама ли искаш ?,
UTT_000004,ALE,1;01.29,ALE,ej tam !,"['ej', 'tam', '!']","['ej', 'tam', '!']","['ej', 'tam']",2,Ей там !,"['ей', 'там']",Ей там !,Ей там !,
UTT_000005,ALE,1;01.29,VEL,kakvo ima ej tam ?,"['kakvo', 'ima', 'ej', 'tam', '?']","['kakvo', 'ima', 'ej', 'tam', '?']","['kakvo', 'ima', 'ej', 'tam']",4,Какво има ей там ?,"['какво', 'има', 'ей', 'там']",Какво има ей там ?,Какво има ей там ?,
UTT_000006,ALE,1;01.29,ALE,ej !,"['ej', '!']","['ej', '!']",['ej'],1,Ей !,['ей'],Ей !,Ей !,
UTT_000007,ALE,1;01.29,VEL,mashinka ?,"['mashinka', '?']","['mashinka', '?']",['mashinka'],1,Машинка ?,['машинка'],Машинка ?,Машинка ?,
UTT_000008,ALE,1;01.29,VEL,"kakvo ima tam, mamo ?","['kakvo', 'ima', 'tam', ',', 'mamo', '?']","['kakvo', 'ima', 'tam', ',', 'mamo', '?']","['kakvo', 'ima', 'tam', 'mamo']",4,"Какво има там, мамо ?","['какво', 'има', 'там', 'мамо']","Какво има там , мамо ?","Какво има там , мамо ?",
UTT_000009,ALE,1;01.29,ALE,daj !,"['daj', '!']","['daj', '!']",['daj'],1,Дай !,['дай'],Дай !,Дай !,
UTT_000010,ALE,1;01.29,VEL,da ti go dadem ?,"['da', 'ti', 'go', 'dadem', '?']","['da', 'ti', 'go', 'dadem', '?']","['da', 'ti', 'go', 'dadem']",4,Да ти го дадем ?,"['да', 'ти', 'го', 'дадем']",Да ти го дадем ?,Да ти го дадем ?,
