Name,Age,Participant,Utterance,TokenisedUtt,TokenisedUttLower,TokenisedUttNoPunct,UttLen,UtterancesCyrillic,TokenisedUttCyr,UtterancesCyrillicCleaned
ALE,1;01.29,ALE,"mama, mama !","['mama', ',', 'mama', '!']","['mama', ',', 'mama', '!']","['mama', 'mama']",2,"Мама, мама !","['мама', 'мама']","Мама , мама !"
ALE,1;01.29,ALE,ej tam !,"['ej', 'tam', '!']","['ej', 'tam', '!']","['ej', 'tam']",2,Ей там !,"['ей', 'там']",Ей там !
ALE,1;01.29,ALE,ej !,"['ej', '!']","['ej', '!']",['ej'],1,Ей !,['ей'],Ей !
ALE,1;01.29,ALE,daj !,"['daj', '!']","['daj', '!']",['daj'],1,Дай !,['дай'],Дай !
ALE,1;01.29,ALE,na enna [: edna] .,"['na', 'edna', '.']","['na', 'edna', '.']","['na', 'edna']",2,На енна [: една] .,"['на', 'енна', 'една']",На енна .
ALE,1;01.29,ALE,de [: dve] .,"['dve', '.']","['dve', '.']",['dve'],1,Де [: две] .,"['де', 'две']",Де .
ALE,1;01.29,ALE,Tam .,"['Tam', '.']","['tam', '.']",['tam'],1,Там .,['там'],Там .
ALE,1;01.29,ALE,xxx .,['.'],['.'],[],0,Xxx .,[],Xxx .
ALE,1;01.29,ALE,na !,"['na', '!']","['na', '!']",['na'],1,На !,['на'],На !
ALE,1;01.29,ALE,mersi !,"['mersi', '!']","['mersi', '!']",['mersi'],1,Мерси !,['мерси'],Мерси !
ALE,1;01.29,ALE,tpru .,"['tpru', '.']","['tpru', '.']",['tpru'],1,Тпру .,['тпру'],Тпру .
ALE,1;01.29,ALE,y-y-y .,"['y-y-y', '.']","['y-y-y', '.']",['y-y-y'],1,Ъ-ъ-ъ .,['ъ-ъ-ъ'],Ъ-ъ-ъ .
ALE,1;01.29,ALE,ne shte !,"['ne', 'shte', '!']","['ne', 'shte', '!']","['ne', 'shte']",2,Не ще !,"['не', 'ще']",Не ще !
ALE,1;01.29,ALE,pate !,"['pate', '!']","['pate', '!']",['pate'],1,Пате !,['пате'],Пате !
ALE,1;01.29,ALE,dzaak .,"['dzaak', '.']","['dzaak', '.']",['dzaak'],1,Дзаак .,['дзаак'],Дзаак .
ALE,1;01.29,ALE,ej tam !,"['ej', 'tam', '!']","['ej', 'tam', '!']","['ej', 'tam']",2,Ей там !,"['ей', 'там']",Ей там !
ALE,1;01.29,ALE,tati .,"['tati', '.']","['tati', '.']",['tati'],1,Тати .,['тати'],Тати .
ALE,1;01.29,ALE,a-be !,"['a-be', '!']","['a-be', '!']",['a-be'],1,А-бе !,['а-бе'],А-бе !
ALE,1;01.29,ALE,dzak .,"['dzak', '.']","['dzak', '.']",['dzak'],1,Дзак .,['дзак'],Дзак .
ALE,1;01.29,ALE,dzak .,"['dzak', '.']","['dzak', '.']",['dzak'],1,Дзак .,['дзак'],Дзак .
ALE,1;01.29,ALE,na !,"['na', '!']","['na', '!']",['na'],1,На !,['на'],На !
ALE,1;01.29,ALE,o-o-o !,"['o-o-o', '!']","['o-o-o', '!']",['o-o-o'],1,О-о-о !,['о-о-о'],О-о-о !
ALE,1;01.29,ALE,my !,"['my', '!']","['my', '!']",['my'],1,Мъ !,['мъ'],Мъ !
ALE,1;01.29,ALE,++ bubabuba .,"['bubabuba', '.']","['bubabuba', '.']",['bubabuba'],1,++ бубабуба .,['бубабуба'],бубабуба .
ALE,1;01.29,ALE,ne .,"['ne', '.']","['ne', '.']",['ne'],1,Не .,['не'],Не .
ALE,1;01.29,ALE,pyche [: pypche] .,"['pypche', '.']","['pypche', '.']",['pypche'],1,Пъче [: пъпче] .,"['пъче', 'пъпче']",Пъче .
ALE,1;01.29,ALE,gux-gux .,"['gux-gux', '.']","['gux-gux', '.']",['gux-gux'],1,Гуx-гуx .,['гуx-гуx'],Гуx-гуx .
ALE,1;01.29,ALE,daj-daj !,"['daj-daj', '!']","['daj-daj', '!']",['daj-daj'],1,Дай-дай !,['дай-дай'],Дай-дай !
ALE,1;01.29,ALE,daj-daj !,"['daj-daj', '!']","['daj-daj', '!']",['daj-daj'],1,Дай-дай !,['дай-дай'],Дай-дай !
ALE,1;01.29,ALE,daj-daj-daj !,"['daj-daj-daj', '!']","['daj-daj-daj', '!']",['daj-daj-daj'],1,Дай-дай-дай !,['дай-дай-дай'],Дай-дай-дай !
ALE,1;01.29,ALE,ii .,"['ii', '.']","['ii', '.']",['ii'],1,Ии .,['ии'],Ии .
ALE,1;01.29,ALE,"Mamma, mamma, maamma .","['Mamma', ',', 'mamma', ',', 'maamma', '.']","['mamma', ',', 'mamma', ',', 'maamma', '.']","['mamma', 'mamma', 'maamma']",3,"Мамма, мамма, маамма .","['мамма', 'мамма', 'маамма']","Мамма , мамма , маамма ."
ALE,1;01.29,ALE,a mo mo .,"['a', 'mo', 'mo', '.']","['a', 'mo', 'mo', '.']","['a', 'mo', 'mo']",3,А мо мо .,"['а', 'мо', 'мо']",А мо мо .
ALE,1;01.29,ALE,bau-bau .,"['bau-bau', '.']","['bau-bau', '.']",['bau-bau'],1,Бау-бау .,['бау-бау'],Бау-бау .
