utterance_id,Name,Age,Participant,Utterance,TokenisedUtt,TokenisedUttLower,TokenisedUttNoPunct,UttLen,UtterancesCyrillic,TokenisedUttCyr,UtterancesCyrillicCleaned,UtterancesCyrillicCleanedNormalised,Manually_corrected
UTT_014364,ELI,1;05.10,EXP,da go pusna li ?,"['da', 'go', 'pusna', 'li', '?']","['da', 'go', 'pusna', 'li', '?']","['da', 'go', 'pusna', 'li']",4,Да го пусна ли ?,"['да', 'го', 'пусна', 'ли']",Да го пусна ли ?,Да го пусна ли ?,Да го пусна ли ?
UTT_040034,TEF,2;00.09,TEF,ikam [: iskam] gaja [: da igraja] !,"['iskam', 'da', 'igraja', '!']","['iskam', 'da', 'igraja', '!']","['iskam', 'da', 'igraja']",3,Икам [: искам] гая [: да играя] !,"['икам', 'искам', 'гая', 'да', 'играя']",Икам гая !,да играя !,Искам играя !
UTT_002329,ALE,1;07.20,VEL,kypi kuklichkata .,"['kypi', 'kuklichkata', '.']","['kypi', 'kuklichkata', '.']","['kypi', 'kuklichkata']",2,Къпи кукличката .,"['къпи', 'кукличката']",Къпи кукличката .,Къпи кукличката .,Къпи кукличката .
UTT_040479,TEF,2;00.09,BAB,imash li oshte akapish ?,"['imash', 'li', 'oshte', 'akapish', '?']","['imash', 'li', 'oshte', 'akapish', '?']","['imash', 'li', 'oshte', 'akapish']",4,Имаш ли още акапиш ?,"['имаш', 'ли', 'още', 'акапиш']",Имаш ли още акапиш ?,Имаш ли още акапиш ?,Имаш ли още акапиш ?
UTT_008154,BOG,2;01.12,IRE,kuma lisa ?,"['kuma', 'lisa', '?']","['kuma', 'lisa', '?']","['kuma', 'lisa']",2,Кума лиса ?,"['кума', 'лиса']",Кума лиса ?,Кума лиса ?,Кума лиса ?
UTT_001598,ALE,1;06.21,ALE,bichash [: obicham] .,"['obicham', '.']","['obicham', '.']",['obicham'],1,Бичаш [: обичам] .,"['бичаш', 'обичам']",Бичаш .,обичам .,Обичам .
UTT_004710,ALE,1;11.14,VEL,molja te izpej pesnichkata !,"['molja', 'te', 'izpej', 'pesnichkata', '!']","['molja', 'te', 'izpej', 'pesnichkata', '!']","['molja', 'te', 'izpej', 'pesnichkata']",4,Моля те изпей песничката !,"['моля', 'те', 'изпей', 'песничката']",Моля те изпей песничката !,Моля те изпей песничката !,Моля те изпей песничката !
UTT_019226,SIM,1;01.28,PLA,da !,"['da', '!']","['da', '!']",['da'],1,Да !,['да'],Да !,Да !,Да !
UTT_043379,TEF,2;03.24,TEF,"jejo, jupixxx .","['jejo', ',', 'jupixxx', '.']","['jejo', ',', 'jupixxx', '.']","['jejo', 'jupixxx']",2,"Йейо, йупиxxx .","['йейо', 'йупиxxx']","Йейо , йупиxxx .","Йейо , йупиxxx .","Йейо , йупиxxx ."
UTT_014108,ELI,1;05.08,EXP,Edna snimchica da i pusne .,"['Edna', 'snimchica', 'da', 'i', 'pusne', '.']","['edna', 'snimchica', 'da', 'i', 'pusne', '.']","['edna', 'snimchica', 'da', 'i', 'pusne']",5,Една снимчица да и пусне .,"['една', 'снимчица', 'да', 'и', 'пусне']",Една снимчица да и пусне .,Една снимчица да и пусне .,Една снимчица да и пусне .
UTT_023368,SIM,1;08.06,SIM,saap [: xljab] .,"['xljab', '.']","['xljab', '.']",['xljab'],1,Саап [: xляб] .,"['саап', 'xляб']",Саап .,xляб .,Хляб .
UTT_016412,ELI,1;06.17,EXP,svyrshi .,"['svyrshi', '.']","['svyrshi', '.']",['svyrshi'],1,Свърши .,['свърши'],Свърши .,Свърши .,Свърши .
UTT_016366,ELI,1;06.17,EXP,taka li pravi ?,"['taka', 'li', 'pravi', '?']","['taka', 'li', 'pravi', '?']","['taka', 'li', 'pravi']",3,Така ли прави ?,"['така', 'ли', 'прави']",Така ли прави ?,Така ли прави ?,Така ли прави ?
