Name,Age,Participant,Utterance,TokenisedUtt,TokenisedUttLower,TokenisedUttNoPunct,UttLen,UtterancesCyrillic,TokenisedUttCyr
ALE,1;01.29,VEL,"sashe, na kolko si godinki ?","['sashe', ',', 'na', 'kolko', 'si', 'godinki', '?']","['sashe', ',', 'na', 'kolko', 'si', 'godinki', '?']","['sashe', 'na', 'kolko', 'si', 'godinki']",5,"Саше, на колко си годинки ?","['саше', 'на', 'колко', 'си', 'годинки']"
ALE,1;01.29,VEL,pri mama li iskash ?,"['pri', 'mama', 'li', 'iskash', '?']","['pri', 'mama', 'li', 'iskash', '?']","['pri', 'mama', 'li', 'iskash']",4,При мама ли искаш ?,"['при', 'мама', 'ли', 'искаш']"
ALE,1;01.29,VEL,kakvo ima ej tam ?,"['kakvo', 'ima', 'ej', 'tam', '?']","['kakvo', 'ima', 'ej', 'tam', '?']","['kakvo', 'ima', 'ej', 'tam']",4,Какво има ей там ?,"['какво', 'има', 'ей', 'там']"
ALE,1;01.29,VEL,mashinka ?,"['mashinka', '?']","['mashinka', '?']",['mashinka'],1,Машинка ?,['машинка']
ALE,1;01.29,VEL,"kakvo ima tam, mamo ?","['kakvo', 'ima', 'tam', ',', 'mamo', '?']","['kakvo', 'ima', 'tam', ',', 'mamo', '?']","['kakvo', 'ima', 'tam', 'mamo']",4,"Какво има там, мамо ?","['какво', 'има', 'там', 'мамо']"
ALE,1;01.29,VEL,da ti go dadem ?,"['da', 'ti', 'go', 'dadem', '?']","['da', 'ti', 'go', 'dadem', '?']","['da', 'ti', 'go', 'dadem']",4,Да ти го дадем ?,"['да', 'ти', 'го', 'дадем']"
ALE,1;01.29,VEL,daj na mama !,"['daj', 'na', 'mama', '!']","['daj', 'na', 'mama', '!']","['daj', 'na', 'mama']",3,Дай на мама !,"['дай', 'на', 'мама']"
ALE,1;01.29,VEL,mersi !,"['mersi', '!']","['mersi', '!']",['mersi'],1,Мерси !,['мерси']
ALE,1;01.29,VEL,kazhi na kolko si godinki ?,"['kazhi', 'na', 'kolko', 'si', 'godinki', '?']","['kazhi', 'na', 'kolko', 'si', 'godinki', '?']","['kazhi', 'na', 'kolko', 'si', 'godinki']",5,Кажи на колко си годинки ?,"['кажи', 'на', 'колко', 'си', 'годинки']"
ALE,1;01.29,VEL,a kolko zybcheta imash ?,"['a', 'kolko', 'zybcheta', 'imash', '?']","['a', 'kolko', 'zybcheta', 'imash', '?']","['a', 'kolko', 'zybcheta', 'imash']",4,А колко зъбчета имаш ?,"['а', 'колко', 'зъбчета', 'имаш']"
ALE,1;01.29,VEL,a kyde e kaka ?,"['a', 'kyde', 'e', 'kaka', '?']","['a', 'kyde', 'e', 'kaka', '?']","['a', 'kyde', 'e', 'kaka']",4,А къде е кака ?,"['а', 'къде', 'е', 'кака']"
ALE,1;01.29,VEL,a tati ?,"['a', 'tati', '?']","['a', 'tati', '?']","['a', 'tati']",2,А тати ?,"['а', 'тати']"
ALE,1;01.29,VEL,Ela mama da ti dade dzhidzhito ?,"['Ela', 'mama', 'da', 'ti', 'dade', 'dzhidzhito', '?']","['ela', 'mama', 'da', 'ti', 'dade', 'dzhidzhito', '?']","['ela', 'mama', 'da', 'ti', 'dade', 'dzhidzhito']",6,Ела мама да ти даде джиджито ?,"['ела', 'мама', 'да', 'ти', 'даде', 'джиджито']"
ALE,1;01.29,DIM,dzak !,"['dzak', '!']","['dzak', '!']",['dzak'],1,Дзак !,['дзак']
ALE,1;01.29,DIM,"Ela, ela, tate, tuka .","['Ela', ',', 'ela', ',', 'tate', ',', 'tuka', '.']","['ela', ',', 'ela', ',', 'tate', ',', 'tuka', '.']","['ela', 'ela', 'tate', 'tuka']",4,"Ела, ела, тате, тука .","['ела', 'ела', 'тате', 'тука']"
ALE,1;01.29,DIM,ajde dzak !,"['ajde', 'dzak', '!']","['ajde', 'dzak', '!']","['ajde', 'dzak']",2,Айде дзак !,"['айде', 'дзак']"
ALE,1;01.29,VEL,dzaak !,"['dzaak', '!']","['dzaak', '!']",['dzaak'],1,Дзаак !,['дзаак']
