Name,Age,Participant,Utterance,UttLen,UtterancesCyrillic,UtterancesCyrillicCleaned,UtterancesCyrillicCleanedNormalised
ALE,1;01.29,ALE,"lju-lju-lju, paati, paati, lju-lju-lju .",4,"Льу-льу-льу, паати, паати, льу-льу-льу .","Льу-льу-льу , паати , паати , льу-льу-льу .","Лю-лю-лю , пати , пати , лю-лю-лю ."
ALE,1;01.29,ALE,ti-tja .,1,Ти-тя .,Ти-тя .,Ти-тя .
ALE,1;01.29,ALE,tati .,1,Тати .,Тати .,Тати .
ALE,1;01.29,ALE,"ta-ta-ta, tatete [: tatence] .",2,"Та-та-та, татете [: татенце] .","Та-та-та , татете .","Та-та-та , татенце ."
ALE,1;01.29,ALE,ej .,1,Ей .,Ей .,Ей .
ALE,1;01.29,ALE,na !,1,На !,На !,На !
ALE,1;01.29,ALE,daj-daj-daj !,1,Дай-дай-дай !,Дай-дай-дай !,Дай-дай-дай !
ALE,1;01.29,ALE,gux-gux .,1,Гуx-гуx .,Гуx-гуx .,Гуx-гуx .
ALE,1;01.29,ALE,shtak .,1,Щак .,Щак .,Щак .
ALE,1;01.29,ALE,"+"" pate te .",2,"+"" пате те .",""" пате те ."," пате те ."
ALE,1;01.29,ALE,tate .,1,Тате .,Тате .,Тате .
ALE,1;01.29,ALE,mamo !,1,Мамо !,Мамо !,Мамо !
ALE,1;01.29,ALE,daj-daj !,1,Дай-дай !,Дай-дай !,Дай-дай !
ALE,1;01.29,ALE,"tite, tute, ta .",3,"Тите, туте, та .","Тите , туте , та .","Тите , туте , та ."
ALE,1;01.29,ALE,na !,1,На !,На !,На !
ALE,1;01.29,ALE,tpru .,1,Тпру .,Тпру .,Тпру .
ALE,1;01.29,ALE,"mammo, mammo .",2,"Маммо, маммо .","Маммо , маммо .","Мамо , мамо ."
ALE,1;01.29,ALE,daj-daj-daj-daj !,1,Дай-дай-дай-дай !,Дай-дай-дай-дай !,Дай-дай-дай-дай !
ALE,1;01.29,ALE,dzak .,1,Дзак .,Дзак .,Дзак .
ALE,1;01.29,ALE,Tam .,1,Там .,Там .,Там .
ALE,1;01.29,ALE,"Mamma, mamma !",2,"Мамма, мамма !","Мамма , мамма !","Мама , мама !"
ALE,1;01.29,ALE,"Mamma, mamma, maamma .",3,"Мамма, мамма, маамма .","Мама , мама , мама .","Мама , мама , мама ."
ALE,1;05.06,ALE,popot .,1,Попот .,Попот .,Попот .
ALE,1;05.08,ALE,kykyn .,1,Къкън .,Къкън .,Къкън .
ALE,1;05.08,ALE,paapa [: jade] .,1,Паапа [: яде] .,Паапа .,Яде .
ALE,1;05.08,ALE,jede [: jade] .,1,Йеде [: яде] .,Йеде .,Яде .
ALE,1;05.08,ALE,nosi !,1,Носи !,Носи !,Носи !
ALE,1;05.08,ALE,daj !,1,Дай !,Дай !,Дай !
