12772 0.0  AUX --> do
7360 0.0  AUX --> did
4828 0.0  AUX --> 's
3630 0.0  AUX --> are
3544 0.0  AUX --> 're
2794 0.0  AUX --> does
2121 0.0  AUX --> is
1865 0.0  AUX --> have
1095 0.0  AUX --> 'm
805 0.0  AUX --> was
662 0.0  AUX --> were
609 0.0  AUX --> 've
496 0.0  AUX --> 'd
317 0.0  AUX --> be
284 0.0  AUX --> has
155 0.0  AUX --> am
146 0.0  AUX --> had
140 0.0  AUX --> been
71 0.0  AUX --> need
37 0.0  AUX --> get
33 0.0  AUX --> got
18 0.0  AUX --> being
15 0.0  AUX --> du
14 0.0  AUX --> d'
12 0.0  AUX --> ai
10 0.0  AUX --> done
9 0.0  AUX --> d
9 0.0  AUX --> of
7 0.0  AUX --> a
6 0.0  AUX --> s
5 0.0  AUX --> ch
5 0.0  AUX --> getting
5 0.0  AUX --> having
4 0.0  AUX --> 'll
4 0.0  AUX --> r
3 0.0  AUX --> da
3 0.0  AUX --> gets
3 0.0  AUX --> going
3 0.0  AUX --> gon
2 0.0  AUX --> m
1 0.0  AUX --> doing
1 0.0  AUX --> dun
1 0.0  AUX --> not
1 0.0  AUX --> se
1 0.0  AUX --> t
1 0.0  AUX --> to
10114 0.0  CC --> and
1521 0.0  CC --> but
1339 0.0  CC --> or
379 0.0  CC --> so
9 0.0  CC --> either
8 0.0  CC --> plus
5 0.0  CC --> though
4 0.0  CC --> an
4 0.0  CC --> cause
3 0.0  CC --> then
2 0.0  CC --> although
2 0.0  CC --> both
2 0.0  CC --> except
2 0.0  CC --> otherwise
1 0.0  CC --> a
1 0.0  CC --> because
1 0.0  CC --> for
1 0.0  CC --> instead
1 0.0  CC --> neither
1 0.0  CC --> nor
1 0.0  CC --> unless
1 0.0  CC --> yet
1404 0.0  CD --> one
1258 0.0  CD --> two
465 0.0  CD --> three
279 0.0  CD --> four
242 0.0  CD --> five
144 0.0  CD --> six
116 0.0  CD --> ten
113 0.0  CD --> seven
101 0.0  CD --> eight
96 0.0  CD --> nine
89 0.0  CD --> thirty
89 0.0  CD --> twenty
47 0.0  CD --> eleven
31 0.0  CD --> twelve
22 0.0  CD --> hundred
20 0.0  CD --> nineteen
18 0.0  CD --> fifteen
18 0.0  CD --> forty
16 0.0  CD --> eighty
15 0.0  CD --> fifty
14 0.0  CD --> thousand
13 0.0  CD --> half
12 0.0  CD --> ninety
12 0.0  CD --> thirteen
11 0.0  CD --> seventy
10 0.0  CD --> fourteen
9 0.0  CD --> sixty
8 0.0  CD --> eighteen
8 0.0  CD --> fourth
7 0.0  CD --> dozen
7 0.0  CD --> zero
6 0.0  CD --> seventeen
6 0.0  CD --> sixteen
5 0.0  CD --> million
4 0.0  CD --> fortyfive
3 0.0  CD --> fifteenth
3 0.0  CD --> fifth
3 0.0  CD --> first
2 0.0  CD --> ninety-seven
2 0.0  CD --> tenth
2 0.0  CD --> third
1 0.0  CD --> 13
1 0.0  CD --> 16
1 0.0  CD --> 17
1 0.0  CD --> 8
