Name,Age,Participant,Utterance,UttLen,UtterancesCyrillic,UtterancesCyrillicCleaned,UtterancesCyrillicCleanedNormalised,berkeley_parse
SIM,2;04.04,PLA,tochno taka!,2,Точно така!,Точно така !,Точно така !,( (ROOT (S (Adv (Adv (Dd Точно)) (Adv (Pdm така))) (pt !))) )
SIM,1;09.03,KAL,"chu li, mamo ?",3,"Чу ли, мамо ?","Чу ли , мамо ?","Чу ли , мамо ?","( (S (CoordP (ConjArg (N (name ""Чу))) (Conj (T (Ti ли)) (pt ,)) (ConjArg (NPA (A мамо) (N (Ncmpi ?"")))))) )"
ELI,1;02.08,EXP,ku-ku@o .,1,Ку-ку@о .,Ку-ку .,Ку-ку .,( (ROOT (S (VPC (N (Ncmsf Ку-ку))) (pt .))) )
SIM,2;06.02,PLA,az njama da zaspivam.,4,Аз няма да заспивам.,Аз няма да заспивам .,Аз няма да заспивам .,( (ROOT (S (VPS (Pron (Ppe Аз)) (VPC (V (Vnitf няма)) (CLDA (V (T (Tx да)) (V (Vppif заспивам)))))) (pt .))) )
SIM,2;02.17,PLA,leka nosht mu kaza snoshti.,5,Лека нощ му каза снощи.,Лека нощ му каза снощи .,Лека нощ му каза снощи .,( (ROOT (S (VPA (VPS (NPA (A (Afsd Лека)) (N (Ncfsi нощ))) (V (Pron (Ppetds3m му)) (V (Vpptf каза)))) (Adv (Dt снощи))) (pt .))) )
ELI,1;03.02,EXP,da .,1,Да .,Да .,Да .,( (ROOT (S (T (Ta Да)) (pt .))) )
SIM,1;08.10,PLA,slusha li ?,2,Слуша ли ?,Слуша ли ?,Слуша ли ?,( (ROOT (S (Adv (Adv (Dt Слуша)) (T (Ti ли))) (pt ?))) )
ELI,1;06.09,EXP,kakvo iskash ?,2,Какво искаш ?,Какво искаш ?,Какво искаш ?,( (ROOT (S (VPC (A (Pia Какво)) (V (Vpitf искаш))) (pt ?))) )
ELI,1;02.17,EXP,"nishto, de nishto, xajde sega .",5,"Нищо, де нищо, xайде сега .","Нищо , де нищо , xайде сега .","Нищо , де нищо , xайде сега .","( (S (CoordP (ConjArg (N (name ""Нищо))) (Conj (pt ,) (T (Te де))) (ConjArg (NPA (Pron (Pne нищо)) (CLR (pt ,) (VPS (VPC (Pron (Pre xайде)) (Adv (Dt сега)) (V (Vpitf .""))))))))) )"
SIM,1;10.07,PLA,"a, baba natisna ednata kukla da pee .",7,"А, баба натисна едната кукла да пее .","А , баба натисна едната кукла да пее .","А , баба натисна едната кукла да пее .","( (S (VPS (CoordP (ConjArg (N (name ""А))) (Conj (pt ,)) (ConjArg (VPS (N (Ncfsi баба)) (VPC (V (Vpptf натисна)) (NPA (Pron (Pfe едната)) (N (Ncfsi кукла))))))) (VPC (V (T (Tx да)) (V (Vpitf пее))) (N (Ncfsd .""))))) )"
SIM,2;05.28,PLA,Kalojancho na kolko godinki e?,4,Калоянчо на колко годинки е?,Калоянчо на колко годинки е ?,Калоянчо на колко годинки е ?,( (ROOT (S (VPC (NPA (N (Ncmsf Калоянчо)) (PP (Prep (R на)) (NPA (Adv (Piq колко)) (N (Ncmpi годинки))))) (V (Vxitf е))) (pt ?))) )
SIM,2;00.06,PLA,ti shte mi pomagash .,4,Ти ще ми помагаш .,Ти ще ми помагаш .,Ти ще ми помагаш .,( (ROOT (S (VPS (Pron (Ppe Ти)) (V (T (Tx ще)) (Pron (Ppetds1 ми)) (V (Vpptf помагаш)))) (pt .))) )
ALE,2;04.09,VEL,ax tezi Pigita !,3,Аx тези пигита !,Аx тези пигита !,Аx тези пигита !,( (ROOT (S (VPC (V (Vpptz Аx)) (NPA (Pron (Pde тези)) (N (Ncfsi пигита)))) (pt !))) )
ELI,1;06.21,EXP,tazi lepenka .,2,Тази лепенка .,Тази лепенка .,Тази лепенка .,( (ROOT (S (NPA (Pron (Pde Тази)) (N (Ncnpi лепенка))) (pt .))) )
ELI,1;02.26,DAN,xxx .,0,Xxx .,Xxx .,Xxx .,( (ROOT (S (N (name Xxx)) (pt .))) )
ELI,1;06.17,EXP,edno tajno neshto .,3,Едно тайно нещо .,Едно тайно нещо .,Едно тайно нещо .,( (ROOT (S (VPC (V (Vpitf Едно)) (Adv (Dm тайно)) (Pron (Pfe нещо))) (pt .))) )
TEF,1;11.04,BAB,teletervizchetata .,1,Телетервизчетата .,Телетервизчетата .,Телетервизчетата .,( (ROOT (S (N (name Телетервизчетата)) (pt .))) )
SIM,1;05.10,PLA,a ti ne iskash li da go probvash ?,8,А ти не искаш ли да го пробваш ?,А ти не искаш ли да го пробваш ?,А ти не искаш ли да го пробваш ?,( (ROOT (S (CoordP (Conj (C (Cp А))) (ConjArg (VPS (Pron (Ppe ти)) (VPC (V (V (T (Tn не)) (V (Vpitf искаш))) (T (Ti ли))) (CLDA (V (T (Tx да)) (Pron (Ppetas3m го)) (V (Vpptf пробваш)))))))) (pt ?))) )
SIM,1;09.17,PLA,"ne, mamo .",2,"Не, мамо .","Не , мамо .","Не , мамо .","( (S (NPA (NPA (name ""Не)) (NPA (pt ,) (A (Amsi мамо)) (N (name .""))))) )"
TEF,2;03.24,BAB,"tebe, kazhi !",2,"Тебе, кажи !","Тебе , кажи !","Тебе , кажи !","( (S (CoordP (ConjArg (N (name ""Тебе))) (Conj (pt ,)) (ConjArg (VPC (V (Vpptz кажи)) (N (name !"")))))) )"
ELI,1;06.21,EXP,I vseki pyt kato vidish tazi kartinka i ti se prijazhda jabylka .,12,И всеки път като видиш тази картинка и ти се прияжда ябълка .,И всеки път като видиш тази картинка и ти се прияжда ябълка .,И всеки път като видиш тази картинка и ти се прияжда ябълка .,( (ROOT (S (CoordP (Conj (C (Cp И))) (ConjArg (VPA (VPS (NPA (Pron (Pce всеки)) (N (Ncmsi път)))) (PP (Prep (R като)) (NPA (N (Ncmsi видиш)) (NPA (Pron (Pde тази)) (N (Ncfsi картинка))))))) (Conj (C (Cp и))) (ConjArg (VPS (Pron (Ppe ти)) (VPC (V (Pron (Ppxta се)) (V (Vpitf прияжда))) (Adv (Dm ябълка)))))) (pt .))) )
ELI,1;02.17,DAN,kola .,1,Кола .,Кола .,Кола .,( (ROOT (S (VPC (N (Ncfsi Кола))) (pt .))) )
SIM,1;11.04,PLA,i kebapchetata .,2,И кебапчетата .,И кебапчетата .,И кебапчетата .,( (ROOT (S (CoordP (Conj (C (Cp И))) (ConjArg (A кебапчетата))) (pt .))) )
ELI,1;06.21,EXP,bob .,1,Боб .,Боб .,Боб .,( (ROOT (S (V (Vpitf Боб)) (pt .))) )
ALE,2;02.24,VEL,"am, njamam kremcheta !",3,"Ам, нямам кремчета !","Ам , нямам кремчета !","Ам , нямам кремчета !","( (S (VPC (V (Vpitf ""Ам)) (CL (pt ,) (VPC (V (Vpitf нямам)) (NPA (A кремчета) (N (Ncmpi !""))))))) )"
ELI,1;02.26,EXP,napravil li si neshto ?,4,Направил ли си нещо ?,Направил ли си нещо ?,Направил ли си нещо ?,( (ROOT (S (VPS (V (V (Vpitf Направил)) (T (Ti ли)) (Pron (Ppxtd си))) (Pron (Pfe нещо))) (pt ?))) )
ELI,1;05.18,EXP,djado l'ubcho .,2,Дядо л'убчо .,Дядо л'убчо .,Дядо л'убчо .,( (ROOT (S (NPA (N (Ncmsi Дядо)) (A (Amsi л'убчо))) (pt .))) )
ELI,1;03.10,BOR,"kakvo iskash, eli ?",3,"Какво искаш, ели ?","Какво искаш , ели ?","Какво искаш , ели ?","( (S (VPS (H (name ""Какво)) (VPC (V (Vpitf искаш)) (CLDA (pt ,) (VPS (V (Vpiif ели)) (N (name ?""))))))) )"
ELI,1;06.09,EXP,plitka .,1,Плитка .,Плитка .,Плитка .,( (ROOT (S (N (name Плитка)) (pt .))) )
ELI,1;07.13,EXP,tati e na rabota .,4,Тати е на работа .,Тати е на работа .,Тати е на работа .,( (ROOT (S (VPS (N (Ncmsf Тати)) (VPC (V (Vxitf е)) (PP (Prep (R на)) (N (Ncfsi работа))))) (pt .))) )
SIM,1;07.08,PLA,dobre .,1,Добре .,Добре .,Добре .,( (ROOT (S (Adv (Dm Добре)) (pt .))) )
ELI,1;03.10,BOR,"kolko vreme shte se vyrti, samo !",6,"Колко време ще се върти, само !","Колко време ще се върти , само !","Колко време ще се върти , само !","( (S (CoordP (ConjArg (VPS (NPA (A (Ansd ""Колко)) (N (Ncnsi време))) (V (T (Tx ще)) (Pron (Ppxta се)) (V (Vpitf върти))))) (Conj (pt ,)) (ConjArg (VPA (Adv (Dd само)) (V (Vpitf !"")))))) )"
ALE,1;11.14,VEL,"a-a, ne obicham da jam takvoz [: takova], keremida !",7,"А-а, не обичам да ям таквоз [: такова], керемида !","А-а , не обичам да ям таквоз , керемида !","А-а , не обичам да ям такова керемида !","( (S (VPA (Adv (Dt ""А-а) (pt ,)) (VPC (V (T (Tn не)) (V (Vpitf обичам))) (CLDA (VPC (V (T (Tx да)) (V (Vpptf ям))) (NPA (NPA (A (Pda такова)) (N (Ncfsi керемида))) (N (Ncmsf !"")))))))) )"
ELI,1;03.10,BOR,Ela tuka .,2,Ела тука .,Ела тука .,Ела тука .,( (ROOT (S (VPC (V (Vpiiz Ела)) (Adv (Pdl тука))) (pt .))) )
