Name,Age,Participant,Utterance,TokenisedUtt,TokenisedUttLower,TokenisedUttNoPunct,UttLen,UtterancesCyrillic,TokenisedUttCyr,UtterancesCyrillicCleaned,UtterancesCyrillicCleanedNormalised,berkeley_parse
ALE,1;01.29,VEL,"sashe, na kolko si godinki ?","['sashe', ',', 'na', 'kolko', 'si', 'godinki', '?']","['sashe', ',', 'na', 'kolko', 'si', 'godinki', '?']","['sashe', 'na', 'kolko', 'si', 'godinki']",5,"Саше, на колко си годинки ?","['саше', 'на', 'колко', 'си', 'годинки']","Саше , на колко си годинки ?","Саше , на колко си годинки ?","( (S (VPS (N (name ""Саше)) (pt ,) (VPC (PP (Prep (R на)) (Adv (Piq колко))) (Participle (Pron (Ppxtd си)) (Participle (Vpptcao годинки)))) (N (Ncnsd ?"")))) )"
ALE,1;01.29,ALE,"mama, mama !","['mama', ',', 'mama', '!']","['mama', ',', 'mama', '!']","['mama', 'mama']",2,"Мама, мама !","['мама', 'мама']","Мама , мама !","Мама , мама !","( (S (NPA (NPA (name ""Мама)) (NPA (pt ,) (N (Ncfsi мама)) (N (name !""))))) )"
ALE,1;01.29,VEL,pri mama li iskash ?,"['pri', 'mama', 'li', 'iskash', '?']","['pri', 'mama', 'li', 'iskash', '?']","['pri', 'mama', 'li', 'iskash']",4,При мама ли искаш ?,"['при', 'мама', 'ли', 'искаш']",При мама ли искаш ?,При мама ли искаш ?,( (ROOT (S (PP (Prep (R При)) (N (Ncfsi мама))) (VPA (T (Ti ли)) (V (Vpitf искаш))) (pt ?))) )
ALE,1;01.29,ALE,ej tam !,"['ej', 'tam', '!']","['ej', 'tam', '!']","['ej', 'tam']",2,Ей там !,"['ей', 'там']",Ей там !,Ей там !,( (ROOT (S (T (Te Ей)) (Adv (Pdl там)) (pt !))) )
ALE,1;01.29,VEL,kakvo ima ej tam ?,"['kakvo', 'ima', 'ej', 'tam', '?']","['kakvo', 'ima', 'ej', 'tam', '?']","['kakvo', 'ima', 'ej', 'tam']",4,Какво има ей там ?,"['какво', 'има', 'ей', 'там']",Какво има ей там ?,Какво има ей там ?,( (ROOT (S (VPA (VPC (A (Pia Какво)) (V (Vnitf има))) (Adv (T (Te ей)) (Adv (Pdl там)))) (pt ?))) )
ALE,1;01.29,ALE,ej !,"['ej', '!']","['ej', '!']",['ej'],1,Ей !,['ей'],Ей !,Ей !,( (ROOT (S (T (Te Ей)) (pt !))) )
ALE,1;01.29,VEL,mashinka ?,"['mashinka', '?']","['mashinka', '?']",['mashinka'],1,Машинка ?,['машинка'],Машинка ?,Машинка ?,( (ROOT (S (Adv (Dt Машинка)) (pt ?))) )
ALE,1;01.29,VEL,"kakvo ima tam, mamo ?","['kakvo', 'ima', 'tam', ',', 'mamo', '?']","['kakvo', 'ima', 'tam', ',', 'mamo', '?']","['kakvo', 'ima', 'tam', 'mamo']",4,"Какво има там, мамо ?","['какво', 'има', 'там', 'мамо']","Какво има там , мамо ?","Какво има там , мамо ?","( (S (VPS (H (name ""Какво)) (VPC (V (Vpitf има)) (NPA (CoordP (ConjArg (Adv (Pdl там))) (Conj (pt ,)) (ConjArg (A (Amsi мамо)))) (N (Ncnpi ?"")))))) )"
ALE,1;01.29,ALE,daj !,"['daj', '!']","['daj', '!']",['daj'],1,Дай !,['дай'],Дай !,Дай !,( (ROOT (S (V (Vpptz Дай)) (pt !))) )
ALE,1;01.29,VEL,da ti go dadem ?,"['da', 'ti', 'go', 'dadem', '?']","['da', 'ti', 'go', 'dadem', '?']","['da', 'ti', 'go', 'dadem']",4,Да ти го дадем ?,"['да', 'ти', 'го', 'дадем']",Да ти го дадем ?,Да ти го дадем ?,( (ROOT (S (CLDA (V (T (Tx Да)) (Pron (Ppetds2 ти)) (Pron (Ppetas3m го)) (V (Vpptf дадем)))) (pt ?))) )
ALE,1;01.29,VEL,daj na mama !,"['daj', 'na', 'mama', '!']","['daj', 'na', 'mama', '!']","['daj', 'na', 'mama']",3,Дай на мама !,"['дай', 'на', 'мама']",Дай на мама !,Дай на мама !,( (ROOT (S (VPC (V (Vpptz Дай)) (PP (Prep (R на)) (N (Ncfsi мама)))) (pt !))) )
ALE,1;01.29,VEL,mersi !,"['mersi', '!']","['mersi', '!']",['mersi'],1,Мерси !,['мерси'],Мерси !,Мерси !,( (ROOT (S (V (Vpitz Мерси)) (pt !))) )
ALE,1;01.29,VEL,kazhi na kolko si godinki ?,"['kazhi', 'na', 'kolko', 'si', 'godinki', '?']","['kazhi', 'na', 'kolko', 'si', 'godinki', '?']","['kazhi', 'na', 'kolko', 'si', 'godinki']",5,Кажи на колко си годинки ?,"['кажи', 'на', 'колко', 'си', 'годинки']",Кажи на колко си годинки ?,Кажи на колко си годинки ?,( (ROOT (S (VPC (V (Vpptz Кажи)) (PP (Prep (R на)) (NPA (A (A колко) (Pron (Psxto си))) (N (Ncfsi годинки))))) (pt ?))) )
ALE,1;01.29,ALE,na enna [: edna] .,"['na', 'edna', '.']","['na', 'edna', '.']","['na', 'edna']",2,На енна [: една] .,"['на', 'енна', 'една']",На енна .,На една .,( (ROOT (S (PP (Prep (R На)) (NPA (Pron (Pfe една)))) (pt .))) )
ALE,1;01.29,VEL,a kolko zybcheta imash ?,"['a', 'kolko', 'zybcheta', 'imash', '?']","['a', 'kolko', 'zybcheta', 'imash', '?']","['a', 'kolko', 'zybcheta', 'imash']",4,А колко зъбчета имаш ?,"['а', 'колко', 'зъбчета', 'имаш']",А колко зъбчета имаш ?,А колко зъбчета имаш ?,( (ROOT (S (CoordP (Conj (C (Cp А))) (ConjArg (VPA (Adv (Piq колко)) (VPC (N (Ncmpi зъбчета)) (V (Vpitf имаш)))))) (pt ?))) )
ALE,1;01.29,ALE,de [: dve] .,"['dve', '.']","['dve', '.']",['dve'],1,Де [: две] .,"['де', 'две']",Де .,две .,( (ROOT (S (N (name две)) (pt .))) )
ALE,1;01.29,VEL,a kyde e kaka ?,"['a', 'kyde', 'e', 'kaka', '?']","['a', 'kyde', 'e', 'kaka', '?']","['a', 'kyde', 'e', 'kaka']",4,А къде е кака ?,"['а', 'къде', 'е', 'кака']",А къде е кака ?,А къде е кака ?,( (ROOT (S (CoordP (Conj (C (Cp А))) (ConjArg (VPA (Adv (Pil къде)) (V (V (Vxitf е)) (Participle (Vpptcv кака)))))) (pt ?))) )
ALE,1;01.29,ALE,Tam .,"['Tam', '.']","['tam', '.']",['tam'],1,Там .,['там'],Там .,Там .,( (ROOT (S (Adv (Pdl Там)) (pt .))) )
ALE,1;01.29,VEL,a tati ?,"['a', 'tati', '?']","['a', 'tati', '?']","['a', 'tati']",2,А тати ?,"['а', 'тати']",А тати ?,А тати ?,( (ROOT (S (CoordP (Conj (C (Cp А))) (ConjArg (N (Ncmpi тати)))) (pt ?))) )
